count_point_id;heure;flow_moy;pl_pct_moy;vitesse_moy
3127;0;104.01;;
3127;1;91.76;;
3127;2;95.71;;
3127;3;99.17;;
3127;4;108.37;;
3127;5;157.65;;
3127;6;248.26;;
3127;7;381.08;;
3127;8;437.23;;
3127;9;499.76;;
3127;10;561.15;;
3127;11;598.2;;
3127;12;546.3;;
3127;13;552.86;;
3127;14;605.66;;
3127;15;623.91;;
3127;16;623.94;;
3127;17;595.54;;
3127;18;513.82;;
3127;19;386.17;;
3127;20;262.16;;
3127;21;200.74;;
3127;22;157.5;;
3127;23;126.21;;
3128;0;96.75;;
3128;1;86.86;;
3128;2;79.06;;
3128;3;78.35;;
3128;4;89.77;;
3128;5;162.25;;
3128;6;255.49;;
3128;7;400.14;;
3128;8;491.18;;
3128;9;622.84;;
3128;10;713.66;;
3128;11;765.69;;
3128;12;691.94;;
3128;13;663.05;;
3128;14;712.15;;
3128;15;711.4;;
3128;16;713.01;;
3128;17;688.86;;
3128;18;596.14;;
3128;19;452.98;;
3128;20;310.71;;
3128;21;240.8;;
3128;22;180.08;;
3128;23;130.4;;
3129;0;79.51;;
3129;1;62.7;;
3129;2;63.56;;
3129;3;78.37;;
3129;4;130.26;;
3129;5;177.21;;
3129;6;348.95;;
3129;7;607.54;;
3129;8;658.55;;
3129;9;558.36;;
3129;10;570.7;;
3129;11;593.16;;
3129;12;568.51;;
3129;13;616.25;;
3129;14;669.75;;
3129;15;679.53;;
3129;16;688.57;;
3129;17;665.2;;
3129;18;566.85;;
3129;19;398.07;;
3129;20;265.31;;
3129;21;179.16;;
3129;22;137.5;;
3129;23;104.65;;
3130;0;95.42;;
3130;1;81.86;;
3130;2;68.19;;
3130;3;76.37;;
3130;4;89.32;;
3130;5;159.82;;
3130;6;257.08;;
3130;7;419.89;;
3130;8;515.77;;
3130;9;597.73;;
3130;10;639.75;;
3130;11;694.2;;
3130;12;632.32;;
3130;13;603.83;;
3130;14;627.01;;
3130;15;662.31;;
3130;16;762.53;;
3130;17;813.02;;
3130;18;678.96;;
3130;19;492.54;;
3130;20;280.94;;
3130;21;217.87;;
3130;22;169.61;;
3130;23;128.34;;
3214;0;72.13;;
3214;1;65.62;;
3214;2;64.49;;
3214;3;69.25;;
3214;4;69.35;;
3214;5;97.82;;
3214;6;176.04;;
3214;7;291.11;;
3214;8;328.93;;
3214;9;338.45;;
3214;10;401.64;;
3214;11;448.85;;
3214;12;419.23;;
3214;13;410.55;;
3214;14;467.49;;
3214;15;507.94;;
3214;16;552.72;;
3214;17;563.11;;
3214;18;484.43;;
3214;19;346.7;;
3214;20;207.08;;
3214;21;142.18;;
3214;22;113.76;;
3214;23;89.29;;
3215;0;50.76;;
3215;1;42.58;;
3215;2;35.01;;
3215;3;31.83;;
3215;4;38.94;;
3215;5;73.17;;
3215;6;154.45;;
3215;7;290.64;;
3215;8;381.83;;
3215;9;430.18;;
3215;10;460.78;;
3215;11;500.77;;
3215;12;464.16;;
3215;13;445.25;;
3215;14;485.85;;
3215;15;498.46;;
3215;16;494.93;;
3215;17;497.41;;
3215;18;429.23;;
3215;19;325.29;;
3215;20;219.0;;
3215;21;157.3;;
3215;22;109.56;;
3215;23;72.92;;
3285;0;125.43;;
3285;1;91.25;;
3285;2;75.1;;
3285;3;76.62;;
3285;4;108.04;;
3285;5;192.8;;
3285;6;349.73;;
3285;7;652.6;;
3285;8;755.32;;
3285;9;687.97;;
3285;10;724.25;;
3285;11;771.22;;
3285;12;720.57;;
3285;13;709.16;;
3285;14;738.81;;
3285;15;769.42;;
3285;16;936.28;;
3285;17;992.82;;
3285;18;879.95;;
3285;19;593.24;;
3285;20;366.5;;
3285;21;292.32;;
3285;22;216.47;;
3285;23;168.75;;
3286;0;96.63;;
3286;1;75.74;;
3286;2;68.82;;
3286;3;84.37;;
3286;4;129.74;;
3286;5;199.52;;
3286;6;392.84;;
3286;7;813.24;;
3286;8;828.24;;
3286;9;715.47;;
3286;10;724.21;;
3286;11;738.32;;
3286;12;716.44;;
3286;13;782.48;;
3286;14;844.43;;
3286;15;868.34;;
3286;16;908.22;;
3286;17;929.54;;
3286;18;754.38;;
3286;19;529.9;;
3286;20;315.94;;
3286;21;211.85;;
