serm_O;serm_O_nom;serm_D;serm_D_nom;volume
0;Reste BFC;0;Reste BFC;1319225.06
0;Reste BFC;1;SERM Dijonnais;76349.5
0;Reste BFC;2;SERM Nord Franche-Comte;53273.22
0;Reste BFC;3;SERM Bisontin;52708.69
1;SERM Dijonnais;0;Reste BFC;76658.23
1;SERM Dijonnais;1;SERM Dijonnais;414323.26
1;SERM Dijonnais;2;SERM Nord Franche-Comte;239.32
1;SERM Dijonnais;3;SERM Bisontin;16156.33
2;SERM Nord Franche-Comte;0;Reste BFC;53210.11
2;SERM Nord Franche-Comte;1;SERM Dijonnais;235.28
2;SERM Nord Franche-Comte;2;SERM Nord Franche-Comte;146816.37
2;SERM Nord Franche-Comte;3;SERM Bisontin;7847.5
3;SERM Bisontin;0;Reste BFC;52607.76
3;SERM Bisontin;1;SERM Dijonnais;16114.32
3;SERM Bisontin;2;SERM Nord Franche-Comte;7927.83
3;SERM Bisontin;3;SERM Bisontin;255241.31
