serm_O;serm_O_nom;serm_D;serm_D_nom;volume
0;Reste BFC;0;Reste BFC;1357668.69
0;Reste BFC;1;SERM Dijonnais;81162.54
0;Reste BFC;2;SERM Nord Franche-Comte;58109.53
0;Reste BFC;3;SERM Bisontin;55579.01
1;SERM Dijonnais;0;Reste BFC;81524.25
1;SERM Dijonnais;1;SERM Dijonnais;424669.01
1;SERM Dijonnais;2;SERM Nord Franche-Comte;244.9
1;SERM Dijonnais;3;SERM Bisontin;16646.01
2;SERM Nord Franche-Comte;0;Reste BFC;58014.98
2;SERM Nord Franche-Comte;1;SERM Dijonnais;238.27
2;SERM Nord Franche-Comte;2;SERM Nord Franche-Comte;149607.45
2;SERM Nord Franche-Comte;3;SERM Bisontin;8222.74
3;SERM Bisontin;0;Reste BFC;55453.47
3;SERM Bisontin;1;SERM Dijonnais;16581.44
3;SERM Bisontin;2;SERM Nord Franche-Comte;8381.23
3;SERM Bisontin;3;SERM Bisontin;270009.56
